length_nm,ngm_id,nidw
180,24.66,0.1434
180,24.44,0.1833
180,24.23,0.2338
180,24.01,0.2976
180,23.78,0.378
180,23.55,0.4789
180,23.3,0.6053
180,23.03,0.7631
180,22.72,0.9592
180,22.37,1.202
180,21.98,1.5
180,21.52,1.865
180,21.0,2.307
180,20.42,2.838
180,19.78,3.47
180,19.07,4.214
180,18.33,5.081
180,17.54,6.079
180,16.73,7.215
180,15.9,8.493
180,15.08,9.916
180,14.26,11.48
180,13.46,13.19
180,12.69,15.03
180,11.95,17.0
180,11.24,19.09
180,10.57,21.29
180,9.943,23.59
180,9.354,25.98
180,8.805,28.45
180,8.293,30.98
180,7.818,33.58
180,7.378,36.23
180,6.97,38.93
180,6.593,41.66
180,6.244,44.42
180,5.921,47.2
180,5.623,50.0
180,5.346,52.82
180,5.09,55.65
180,4.852,58.49
180,4.631,61.33
180,4.426,64.17
180,4.235,67.0
180,4.057,69.84
180,3.891,72.67
180,3.735,75.49
180,3.589,78.31
180,3.453,81.12
180,3.325,83.91
180,3.204,86.7
180,3.09,89.47
180,2.983,92.22
180,2.881,94.97
180,2.785,97.7
180,2.694,100.4
180,2.608,103.1
180,2.526,105.8
180,2.448,108.5
180,2.374,111.1
180,2.303,113.7
180,2.235,116.3
180,2.171,118.9
180,2.109,121.5
180,2.05,124.1
180,1.993,126.6
180,1.939,129.1
180,1.887,131.6
180,1.837,134.1
180,1.788,136.5
180,1.742,138.9
180,1.697,141.4
180,1.654,143.7
180,1.613,146.1
180,1.573,148.5
180,1.534,150.8
180,1.497,153.1
180,1.461,155.4
180,1.426,157.6
180,1.392,159.9
180,1.359,162.1
360,24.51,0.09806
360,24.31,0.1252
360,24.11,0.1595
360,23.9,0.2027
360,23.67,0.2572
360,23.42,0.3254
360,23.12,0.4107
360,22.78,0.5167
360,22.38,0.6477
360,21.92,0.8083
360,21.39,1.004
360,20.79,1.24
360,20.14,1.521
360,19.42,1.854
360,18.67,2.243
360,17.88,2.693
360,17.07,3.207
360,16.26,3.789
360,15.44,4.44
360,14.64,5.16
360,13.86,5.95
360,13.1,6.809
360,12.38,7.734
360,11.69,8.722
360,11.03,9.771
360,10.41,10.88
360,9.826,12.03
360,9.278,13.24
360,8.765,14.49
360,8.285,15.78
360,7.837,17.1
360,7.419,18.46
360,7.029,19.84
360,6.665,21.25
360,6.326,22.67
360,6.011,24.11
360,5.717,25.57
360,5.443,27.04
360,5.188,28.51
360,4.95,29.99
360,4.728,31.48
360,4.521,32.97
360,4.328,34.46
360,4.148,35.95
360,3.979,37.44
360,3.821,38.93
360,3.673,40.42
360,3.535,41.9
360,3.404,43.38
360,3.282,44.86
360,3.167,46.32
360,3.058,47.79
360,2.956,49.25
360,2.859,50.7
360,2.767,52.15
360,2.681,53.59
360,2.598,55.02
360,2.52,56.45
360,2.446,57.86
360,2.375,59.28
360,2.307,60.68
360,2.243,62.08
360,2.181,63.46
360,2.122,64.84
360,2.066,66.22
360,2.012,67.58
360,1.96,68.94
360,1.91,70.28
360,1.863,71.62
360,1.817,72.95
360,1.772,74.27
360,1.73,75.58
360,1.688,76.89
360,1.649,78.18
360,1.611,79.46
360,1.574,80.74
360,1.538,82.0
360,1.503,83.26
360,1.47,84.51
360,1.437,85.74
360,1.406,86.97
540,24.18,0.09852
540,23.98,0.1254
540,23.75,0.1591
540,23.5,0.2016
540,23.21,0.2546
540,22.88,0.3206
540,22.48,0.4022
540,22.02,0.5025
540,21.49,0.6247
540,20.9,0.7722
540,20.24,0.9486
540,19.54,1.157
540,18.79,1.402
540,18.01,1.685
540,17.21,2.01
540,16.4,2.377
540,15.6,2.79
540,14.81,3.248
540,14.04,3.752
540,13.29,4.301
540,12.58,4.894
540,11.89,5.531
540,11.24,6.209
540,10.63,6.927
540,10.05,7.681
540,9.503,8.469
540,8.99,9.289
540,8.509,10.14
540,8.057,11.01
540,7.635,11.91
540,7.239,12.83
540,6.868,13.77
540,6.522,14.72
540,6.198,15.69
540,5.895,16.67
540,5.613,17.65
540,5.349,18.65
540,5.103,19.65
540,4.873,20.65
540,4.659,21.66
540,4.459,22.67
540,4.272,23.68
540,4.098,24.69
540,3.934,25.71
540,3.782,26.72
540,3.639,27.73
540,3.505,28.73
540,3.379,29.74
540,3.26,30.74
540,3.149,31.74
540,3.043,32.74
540,2.944,33.74
540,2.85,34.73
540,2.761,35.72
540,2.677,36.7
540,2.597,37.68
540,2.521,38.66
540,2.449,39.63
540,2.38,40.6
540,2.314,41.56
540,2.251,42.52
540,2.191,43.48
540,2.134,44.43
540,2.079,45.37
540,2.026,46.32
540,1.975,47.25
540,1.927,48.18
540,1.88,49.11
540,1.835,50.03
540,1.792,50.94
540,1.75,51.85
540,1.709,52.76
540,1.67,53.66
540,1.633,54.55
540,1.596,55.44
540,1.561,56.32
540,1.527,57.2
540,1.494,58.07
540,1.462,58.93
540,1.431,59.79
540,1.401,60.64
720,23.87,0.1043
720,23.64,0.1322
720,23.37,0.1673
720,23.05,0.211
720,22.68,0.2652
720,22.25,0.332
720,21.75,0.4137
720,21.19,0.5128
720,20.56,0.6319
720,19.88,0.7735
720,19.15,0.9402
720,18.38,1.134
720,17.59,1.358
720,16.8,1.613
720,16.0,1.9
720,15.21,2.221
720,14.43,2.575
720,13.68,2.964
720,12.96,3.386
720,12.27,3.842
720,11.61,4.329
720,10.99,4.846
720,10.4,5.393
720,9.841,5.967
720,9.316,6.567
720,8.823,7.19
720,8.36,7.835
720,7.924,8.499
720,7.515,9.181
720,7.132,9.879
720,6.772,10.59
720,6.435,11.31
720,6.119,12.05
720,5.824,12.79
720,5.548,13.53
720,5.29,14.29
720,5.05,15.05
720,4.825,15.81
720,4.615,16.57
720,4.42,17.34
720,4.237,18.1
720,4.066,18.87
720,3.907,19.64
720,3.757,20.4
720,3.617,21.17
720,3.486,21.94
720,3.363,22.7
720,3.247,23.46
720,3.137,24.22
720,3.034,24.98
720,2.937,25.74
720,2.845,26.49
720,2.758,27.25
720,2.675,28.0
720,2.597,28.74
720,2.522,29.49
720,2.451,30.23
720,2.383,30.97
720,2.318,31.71
720,2.257,32.44
720,2.197,33.17
720,2.141,33.9
720,2.087,34.62
720,2.035,35.34
720,1.985,36.06
720,1.937,36.78
720,1.89,37.49
720,1.846,38.19
720,1.803,38.9
720,1.762,39.59
720,1.722,40.29
720,1.683,40.98
720,1.646,41.67
720,1.61,42.35
720,1.575,43.03
720,1.541,43.71
720,1.509,44.38
720,1.477,45.05
720,1.446,45.71
720,1.416,46.37
720,1.388,47.03
900,23.61,0.1076
900,23.33,0.1361
900,23.01,0.1716
900,22.63,0.2156
900,22.19,0.2698
900,21.68,0.3359
900,21.1,0.4161
900,20.47,0.5122
900,19.78,0.6265
900,19.04,0.7607
900,18.28,0.9168
900,17.49,1.096
900,16.7,1.301
900,15.9,1.531
900,15.12,1.788
900,14.35,2.072
900,13.61,2.383
900,12.9,2.72
900,12.22,3.084
900,11.57,3.474
