length_nm,ngm_id,nft
180,24.56,329100000
180,24.33,414000000
180,24.09,518600000
180,23.85,646700000
180,23.61,802500000
180,23.35,990500000
180,23.08,1215000000
180,22.78,1483000000
180,22.46,1797000000
180,22.09,2163000000
180,21.68,2586000000
180,21.22,3070000000
180,20.7,3619000000
180,20.12,4234000000
180,19.49,4917000000
180,18.8,5664000000
180,18.08,6469000000
180,17.32,7324000000
180,16.54,8217000000
180,15.75,9136000000
180,14.96,10070000000
180,14.18,10990000000
180,13.42,11900000000
180,12.68,12780000000
180,11.97,13630000000
180,11.3,14420000000
180,10.66,15170000000
180,10.06,15860000000
180,9.493,16500000000
180,8.965,17080000000
180,8.474,17610000000
180,8.017,18080000000
180,7.593,18510000000
180,7.2,18900000000
180,6.836,19240000000
180,6.498,19550000000
180,6.186,19830000000
180,5.896,20080000000
180,5.628,20300000000
180,5.379,20500000000
180,5.148,20670000000
180,4.933,20830000000
180,4.733,20980000000
180,4.546,21110000000
180,4.372,21220000000
180,4.209,21330000000
180,4.057,21420000000
180,3.914,21510000000
180,3.78,21590000000
180,3.654,21650000000
180,3.535,21720000000
180,3.423,21770000000
180,3.318,21820000000
180,3.218,21860000000
180,3.123,21900000000
180,3.033,21940000000
180,2.948,21960000000
180,2.866,21990000000
180,2.789,22010000000
180,2.715,22020000000
180,2.645,22030000000
180,2.578,22040000000
180,2.514,22040000000
180,2.452,22040000000
180,2.393,22030000000
180,2.337,22020000000
180,2.282,22010000000
180,2.23,21990000000
180,2.18,21980000000
180,2.131,21950000000
180,2.085,21930000000
180,2.04,21900000000
180,1.997,21860000000
180,1.955,21830000000
180,1.914,21790000000
180,1.875,21750000000
180,1.838,21700000000
180,1.801,21660000000
180,1.765,21610000000
180,1.731,21550000000
180,1.698,21500000000
360,24.47,159600000
360,24.27,198300000
360,24.07,245100000
360,23.86,300800000
360,23.63,366900000
360,23.37,444300000
360,23.08,534500000
360,22.73,638900000
360,22.34,759100000
360,21.88,896600000
360,21.35,1053000000
360,20.76,1230000000
360,20.12,1427000000
360,19.42,1645000000
360,18.68,1882000000
360,17.91,2138000000
360,17.12,2409000000
360,16.33,2692000000
360,15.54,2984000000
360,14.76,3281000000
360,14.0,3580000000
360,13.27,3878000000
360,12.58,4171000000
360,11.91,4457000000
360,11.28,4735000000
360,10.69,5003000000
360,10.14,5259000000
360,9.62,5505000000
360,9.135,5739000000
360,8.684,5961000000
360,8.264,6172000000
360,7.873,6373000000
360,7.509,6563000000
360,7.171,6744000000
360,6.857,6916000000
360,6.564,7079000000
360,6.291,7235000000
360,6.037,7383000000
360,5.8,7525000000
360,5.578,7660000000
360,5.37,7789000000
360,5.176,7912000000
360,4.993,8030000000
360,4.821,8143000000
360,4.659,8251000000
360,4.507,8354000000
360,4.363,8453000000
360,4.227,8547000000
360,4.097,8637000000
360,3.975,8723000000
