length_nm,ngm_id,ngmro
180,24.56,28.94
180,24.33,28.86
180,24.09,28.82
180,23.85,28.8
180,23.61,28.81
180,23.35,28.86
180,23.08,28.93
180,22.78,29.04
180,22.46,29.16
180,22.09,29.28
180,21.68,29.39
180,21.22,29.48
180,20.7,29.53
180,20.12,29.51
180,19.49,29.42
180,18.8,29.24
180,18.08,28.97
180,17.32,28.59
180,16.54,28.12
180,15.75,27.55
180,14.96,26.89
180,14.18,26.15
180,13.42,25.35
180,12.68,24.5
180,11.97,23.61
180,11.3,22.7
180,10.66,21.78
180,10.06,20.86
180,9.493,19.95
180,8.965,19.06
180,8.474,18.19
180,8.017,17.35
180,7.593,16.55
180,7.2,15.79
180,6.836,15.06
180,6.498,14.36
180,6.186,13.71
180,5.896,13.09
180,5.628,12.5
180,5.379,11.95
180,5.148,11.43
180,4.933,10.94
180,4.733,10.48
180,4.546,10.04
180,4.372,9.632
180,4.209,9.244
180,4.057,8.878
180,3.914,8.532
180,3.78,8.205
180,3.654,7.896
180,3.535,7.603
180,3.423,7.325
180,3.318,7.061
180,3.218,6.81
180,3.123,6.571
180,3.033,6.344
180,2.948,6.128
180,2.866,5.921
180,2.789,5.724
180,2.715,5.536
180,2.645,5.356
180,2.578,5.183
180,2.514,5.018
180,2.452,4.86
180,2.393,4.708
180,2.337,4.562
180,2.282,4.422
180,2.23,4.288
180,2.18,4.158
180,2.131,4.033
180,2.085,3.913
180,2.04,3.797
180,1.997,3.686
180,1.955,3.578
180,1.914,3.474
180,1.875,3.373
180,1.838,3.276
180,1.801,3.183
180,1.765,3.092
180,1.731,3.004
180,1.698,2.919
360,24.47,78.09
360,24.27,78.09
360,24.07,78.15
360,23.86,78.25
360,23.63,78.37
360,23.37,78.48
360,23.08,78.55
360,22.73,78.54
360,22.34,78.4
360,21.88,78.1
360,21.35,77.59
360,20.76,76.86
360,20.12,75.86
360,19.42,74.6
360,18.68,73.07
360,17.91,71.29
360,17.12,69.27
360,16.33,67.04
360,15.54,64.63
360,14.76,62.08
360,14.0,59.42
360,13.27,56.7
360,12.58,53.94
360,11.91,51.19
360,11.28,48.47
360,10.69,45.81
360,10.14,43.22
360,9.62,40.72
360,9.135,38.33
360,8.684,36.05
360,8.264,33.88
360,7.873,31.83
360,7.509,29.9
360,7.171,28.08
360,6.857,26.38
360,6.564,24.78
360,6.291,23.29
360,6.037,21.89
360,5.8,20.58
360,5.578,19.36
360,5.37,18.22
360,5.176,17.15
360,4.993,16.16
360,4.821,15.23
360,4.659,14.36
360,4.507,13.54
360,4.363,12.78
360,4.227,12.07
360,4.097,11.4
360,3.975,10.77
360,3.858,10.18
360,3.748,9.629
360,3.642,9.11
360,3.541,8.623
360,3.445,8.164
360,3.353,7.733
360,3.264,7.327
360,3.18,6.945
360,3.098,6.585
360,3.02,6.245
360,2.945,5.925
360,2.872,5.623
360,2.802,5.339
360,2.735,5.07
360,2.67,4.816
360,2.607,4.577
360,2.546,4.35
360,2.487,4.136
360,2.43,3.934
360,2.374,3.743
360,2.321,3.563
360,2.268,3.392
360,2.218,3.231
360,2.168,3.078
360,2.121,2.934
360,2.074,2.797
360,2.029,2.668
360,1.984,2.546
360,1.941,2.43
360,1.899,2.32
360,1.859,2.217
540,24.15,105.2
540,23.94,105.4
540,23.72,105.6
540,23.47,105.8
540,23.18,105.9
540,22.84,105.9
540,22.44,105.8
540,21.99,105.5
540,21.46,104.9
540,20.87,104.0
540,20.23,102.8
540,19.53,101.2
540,18.79,99.27
540,18.03,97.0
540,17.24,94.41
540,16.46,91.53
540,15.67,88.4
540,14.9,85.07
540,14.16,81.57
540,13.44,77.96
540,12.75,74.29
540,12.09,70.59
540,11.47,66.9
540,10.88,63.27
540,10.34,59.71
540,9.823,56.26
540,9.344,52.93
540,8.897,49.73
540,8.481,46.68
540,8.093,43.78
540,7.733,41.03
540,7.397,38.43
540,7.085,35.99
540,6.793,33.68
540,6.522,31.52
540,6.268,29.5
540,6.031,27.6
540,5.809,25.82
540,5.601,24.16
540,5.406,22.6
540,5.223,21.14
540,5.05,19.78
540,4.886,18.51
540,4.732,17.32
540,4.586,16.21
540,4.448,15.18
540,4.316,14.2
540,4.191,13.3
540,4.072,12.45
540,3.958,11.65
540,3.849,10.91
540,3.745,10.22
540,3.645,9.572
540,3.549,8.966
540,3.457,8.4
540,3.368,7.871
540,3.282,7.377
540,3.199,6.915
540,3.119,6.484
540,3.042,6.082
540,2.967,5.706
540,2.895,5.356
540,2.824,5.029
540,2.756,4.724
540,2.69,4.44
540,2.625,4.176
540,2.563,3.929
540,2.502,3.7
540,2.442,3.486
540,2.385,3.288
540,2.329,3.103
540,2.274,2.931
540,2.221,2.771
540,2.169,2.622
540,2.119,2.483
540,2.07,2.355
540,2.022,2.235
540,1.976,2.123
540,1.931,2.019
540,1.887,1.922
540,1.844,1.832
720,23.84,125.1
720,23.6,125.5
720,23.33,125.9
720,23.01,126.2
720,22.64,126.4
720,22.21,126.4
720,21.72,126.1
720,21.16,125.5
720,20.53,124.5
720,19.86,123.1
720,19.14,121.2
720,18.39,119.0
720,17.61,116.3
720,16.83,113.2
720,16.05,109.8
720,15.28,106.0
720,14.52,102.1
