length_nm,ngm_id,nidw
180,24.56,0.1743
180,24.33,0.2226
180,24.09,0.2835
180,23.85,0.3604
180,23.61,0.4569
180,23.35,0.5778
180,23.08,0.7288
180,22.78,0.9166
180,22.46,1.149
180,22.09,1.436
180,21.68,1.787
180,21.22,2.215
180,20.7,2.732
180,20.12,3.351
180,19.49,4.084
180,18.8,4.947
180,18.08,5.948
180,17.32,7.1
180,16.54,8.411
180,15.75,9.884
180,14.96,11.53
180,14.18,13.33
180,13.42,15.31
180,12.68,17.44
180,11.97,19.73
180,11.3,22.16
180,10.66,24.73
180,10.06,27.43
180,9.493,30.24
180,8.965,33.17
180,8.474,36.19
180,8.017,39.3
180,7.593,42.48
180,7.2,45.75
180,6.836,49.07
180,6.498,52.45
180,6.186,55.88
180,5.896,59.36
180,5.628,62.88
180,5.379,66.44
180,5.148,70.03
180,4.933,73.65
180,4.733,77.29
180,4.546,80.96
180,4.372,84.66
180,4.209,88.37
180,4.057,92.09
180,3.914,95.84
180,3.78,99.6
180,3.654,103.4
180,3.535,107.2
180,3.423,110.9
180,3.318,114.7
180,3.218,118.6
180,3.123,122.4
180,3.033,126.2
180,2.948,130.0
180,2.866,133.9
180,2.789,137.7
180,2.715,141.5
180,2.645,145.4
180,2.578,149.2
180,2.514,153.1
180,2.452,156.9
180,2.393,160.8
180,2.337,164.6
180,2.282,168.5
180,2.23,172.3
180,2.18,176.2
180,2.131,180.0
180,2.085,183.8
180,2.04,187.7
180,1.997,191.5
180,1.955,195.3
180,1.914,199.1
180,1.875,202.9
180,1.838,206.7
180,1.801,210.5
180,1.765,214.3
180,1.731,218.1
180,1.698,221.9
360,24.47,0.1058
360,24.27,0.135
360,24.07,0.1719
360,23.86,0.2185
360,23.63,0.277
360,23.37,0.3504
360,23.08,0.442
360,22.73,0.5558
360,22.34,0.6963
360,21.88,0.8687
360,21.35,1.078
360,20.76,1.331
360,20.12,1.633
360,19.42,1.99
360,18.68,2.408
360,17.91,2.891
360,17.12,3.445
360,16.33,4.072
360,15.54,4.775
360,14.76,5.556
360,14.0,6.415
360,13.27,7.352
360,12.58,8.366
360,11.91,9.455
360,11.28,10.62
360,10.69,11.85
360,10.14,13.15
360,9.62,14.52
360,9.135,15.94
360,8.684,17.43
360,8.264,18.97
360,7.873,20.56
360,7.509,22.21
360,7.171,23.9
360,6.857,25.63
360,6.564,27.41
360,6.291,29.23
360,6.037,31.09
360,5.8,32.98
360,5.578,34.91
360,5.37,36.88
360,5.176,38.87
360,4.993,40.9
360,4.821,42.96
360,4.659,45.04
360,4.507,47.15
360,4.363,49.29
360,4.227,51.46
360,4.097,53.64
360,3.975,55.85
360,3.858,58.08
360,3.748,60.33
360,3.642,62.6
360,3.541,64.89
360,3.445,67.2
360,3.353,69.52
360,3.264,71.86
360,3.18,74.21
360,3.098,76.58
360,3.02,78.96
360,2.945,81.35
360,2.872,83.75
360,2.802,86.16
360,2.735,88.58
360,2.67,91.0
360,2.607,93.44
360,2.546,95.87
360,2.487,98.32
360,2.43,100.8
360,2.374,103.2
360,2.321,105.7
360,2.268,108.1
360,2.218,110.6
360,2.168,113.0
360,2.121,115.5
360,2.074,117.9
360,2.029,120.4
360,1.984,122.8
360,1.941,125.2
360,1.899,127.7
360,1.859,130.1
540,24.15,0.1041
540,23.94,0.1324
540,23.72,0.1681
540,23.47,0.2128
540,23.18,0.2687
540,22.84,0.3383
540,22.44,0.4242
540,21.99,0.5298
540,21.46,0.6584
540,20.87,0.8136
540,20.23,0.9993
540,19.53,1.219
540,18.79,1.477
540,18.03,1.775
540,17.24,2.118
540,16.46,2.506
540,15.67,2.943
540,14.9,3.429
540,14.16,3.965
540,13.44,4.552
540,12.75,5.188
540,12.09,5.874
540,11.47,6.608
540,10.88,7.389
540,10.34,8.216
540,9.823,9.087
540,9.344,10.0
540,8.897,10.96
540,8.481,11.95
540,8.093,12.98
540,7.733,14.05
540,7.397,15.15
540,7.085,16.29
