length_nm,ngm_id,ngmro
180,23.94,49.36
180,23.62,49.1
180,23.28,48.86
180,22.92,48.63
180,22.55,48.42
180,22.15,48.22
180,21.72,48.05
180,21.27,47.9
180,20.79,47.76
180,20.27,47.62
180,19.71,47.49
180,19.12,47.35
180,18.49,47.2
180,17.83,47.02
180,17.15,46.82
180,16.44,46.58
180,15.72,46.3
180,14.99,45.98
180,14.27,45.62
180,13.55,45.21
180,12.85,44.76
180,12.17,44.27
180,11.52,43.75
180,10.89,43.2
180,10.29,42.62
180,9.726,42.03
180,9.193,41.42
180,8.694,40.8
180,8.227,40.18
180,7.791,39.56
180,7.385,38.94
180,7.008,38.33
180,6.658,37.74
180,6.333,37.16
180,6.031,36.6
180,5.751,36.05
180,5.492,35.52
180,5.251,35.01
180,5.027,34.52
180,4.819,34.05
180,4.625,33.59
180,4.445,33.16
180,4.276,32.74
180,4.119,32.34
180,3.972,31.95
180,3.834,31.58
180,3.704,31.23
180,3.583,30.89
180,3.468,30.56
180,3.36,30.25
180,3.259,29.94
180,3.162,29.65
180,3.071,29.37
180,2.985,29.09
180,2.903,28.83
180,2.826,28.57
180,2.752,28.33
180,2.681,28.09
180,2.614,27.85
180,2.55,27.63
180,2.489,27.4
180,2.43,27.19
180,2.374,26.98
180,2.321,26.77
180,2.269,26.57
180,2.22,26.38
180,2.172,26.19
180,2.126,26.0
180,2.082,25.82
180,2.04,25.64
180,1.999,25.46
180,1.96,25.29
180,1.922,25.12
180,1.886,24.95
180,1.85,24.79
180,1.816,24.63
180,1.783,24.47
180,1.751,24.31
180,1.72,24.16
180,1.69,24.0
180,1.661,23.85
360,24.07,107.4
360,23.83,107.8
360,23.58,108.3
360,23.31,109.0
360,23.03,109.8
360,22.71,110.7
360,22.36,111.7
360,21.96,112.7
360,21.51,113.8
360,21.0,114.8
360,20.44,115.8
360,19.83,116.8
360,19.16,117.6
360,18.46,118.3
360,17.73,118.9
360,16.98,119.3
360,16.22,119.6
360,15.46,119.7
360,14.71,119.7
360,13.98,119.6
360,13.27,119.4
360,12.59,119.0
360,11.94,118.5
360,11.32,117.9
360,10.74,117.3
360,10.2,116.6
360,9.687,115.8
360,9.209,115.0
360,8.763,114.2
360,8.347,113.3
360,7.96,112.4
360,7.6,111.5
360,7.265,110.5
360,6.953,109.6
360,6.663,108.7
360,6.393,107.7
360,6.141,106.8
360,5.906,105.9
360,5.687,104.9
360,5.481,104.0
360,5.289,103.1
360,5.109,102.2
360,4.939,101.3
360,4.78,100.5
360,4.63,99.6
360,4.488,98.74
360,4.354,97.89
360,4.228,97.06
360,4.108,96.23
360,3.994,95.41
360,3.886,94.59
360,3.783,93.79
360,3.685,92.99
360,3.592,92.2
360,3.502,91.42
360,3.417,90.65
360,3.336,89.88
360,3.257,89.11
360,3.183,88.36
360,3.111,87.61
360,3.042,86.86
360,2.975,86.12
360,2.911,85.39
360,2.85,84.66
360,2.79,83.93
360,2.733,83.21
360,2.678,82.49
360,2.625,81.78
360,2.573,81.08
360,2.523,80.37
360,2.475,79.68
360,2.429,78.98
360,2.383,78.29
360,2.34,77.61
360,2.297,76.93
360,2.256,76.25
360,2.216,75.58
360,2.177,74.91
360,2.14,74.25
360,2.103,73.59
360,2.068,72.93
540,23.78,139.3
540,23.53,140.3
540,23.27,141.3
540,22.97,142.5
540,22.63,143.9
540,22.25,145.3
540,21.81,146.7
540,21.31,148.1
540,20.76,149.4
540,20.15,150.7
540,19.49,151.8
540,18.79,152.7
540,18.06,153.5
540,17.3,154.1
540,16.54,154.6
540,15.78,154.8
540,15.03,154.9
540,14.3,154.8
540,13.58,154.6
540,12.9,154.2
540,12.25,153.7
540,11.63,153.1
540,11.05,152.4
540,10.5,151.7
540,9.987,150.8
540,9.506,149.9
540,9.058,148.9
540,8.64,147.9
540,8.25,146.9
540,7.888,145.9
540,7.551,144.8
540,7.237,143.7
540,6.945,142.6
540,6.672,141.5
540,6.419,140.4
540,6.182,139.3
540,5.96,138.2
540,5.753,137.2
540,5.559,136.1
540,5.376,135.0
540,5.205,134.0
540,5.044,132.9
540,4.892,131.9
540,4.749,130.8
540,4.613,129.8
540,4.485,128.8
540,4.363,127.8
540,4.248,126.8
540,4.138,125.7
540,4.033,124.7
540,3.934,123.8
540,3.838,122.8
540,3.747,121.8
540,3.66,120.8
540,3.577,119.8
540,3.497,118.9
540,3.421,117.9
540,3.347,116.9
540,3.276,116.0
540,3.208,115.0
540,3.142,114.0
540,3.079,113.1
540,3.018,112.1
540,2.959,111.2
540,2.902,110.3
540,2.846,109.3
