length_nm,ngm_id,nft
180,22.56,213600000
180,22.34,262500000
180,22.12,321200000
180,21.88,391300000
180,21.63,474100000
180,21.37,571500000
180,21.08,685000000
180,20.76,816300000
180,20.41,967200000
180,20.01,1139000000
180,19.57,1334000000
180,19.09,1552000000
180,18.57,1794000000
180,18,2060000000
180,17.4,2350000000
180,16.78,2661000000
180,16.13,2992000000
180,15.47,3338000000
180,14.81,3697000000
180,14.15,4065000000
180,13.5,4437000000
180,12.86,4810000000
180,12.24,5180000000
180,11.64,5544000000
180,11.08,5899000000
180,10.53,6244000000
180,10.02,6577000000
180,9.534,6897000000
180,9.077,7203000000
180,8.648,7496000000
180,8.247,7776000000
180,7.871,8043000000
180,7.52,8297000000
180,7.192,8540000000
180,6.886,8772000000
180,6.6,8995000000
180,6.334,9208000000
180,6.085,9413000000
180,5.853,9610000000
180,5.636,9800000000
180,5.433,9985000000
180,5.243,10160000000
180,5.064,10340000000
180,4.897,10510000000
180,4.74,10670000000
180,4.592,10830000000
180,4.453,10990000000
180,4.322,11140000000
180,4.198,11300000000
180,4.081,11450000000
180,3.97,11590000000
180,3.865,11740000000
180,3.765,11880000000
180,3.67,12020000000
180,3.58,12150000000
180,3.494,12290000000
180,3.412,12420000000
180,3.333,12550000000
180,3.258,12680000000
180,3.187,12810000000
180,3.118,12930000000
180,3.052,13060000000
180,2.989,13180000000
180,2.928,13300000000
180,2.87,13420000000
180,2.813,13530000000
180,2.759,13650000000
180,2.707,13760000000
180,2.657,13870000000
180,2.608,13980000000
180,2.561,14090000000
180,2.516,14200000000
180,2.472,14300000000
180,2.429,14400000000
180,2.388,14500000000
180,2.348,14600000000
180,2.309,14700000000
180,2.271,14800000000
180,2.235,14890000000
180,2.199,14980000000
180,2.165,15070000000
360,22.03,129200000
360,21.76,154200000
360,21.47,182800000
360,21.14,215300000
360,20.77,252100000
360,20.35,293500000
360,19.89,339900000
360,19.38,391700000
360,18.83,449100000
360,18.23,512100000
360,17.61,580600000
360,16.96,654400000
360,16.29,733000000
360,15.61,815600000
360,14.94,901600000
360,14.27,990000000
360,13.61,1080000000
360,12.97,1171000000
