length_nm,ngm_id,ngmro
180,22.88,68.72
180,22.72,68.68
180,22.55,68.69
180,22.37,68.75
180,22.18,68.83
180,21.97,68.91
180,21.73,68.95
180,21.46,68.91
180,21.14,68.74
180,20.77,68.41
180,20.35,67.85
180,19.87,67.05
180,19.34,65.97
180,18.76,64.6
180,18.13,62.95
180,17.47,61.03
180,16.79,58.87
180,16.08,56.52
180,15.37,54.01
180,14.66,51.39
180,13.96,48.7
180,13.28,46
180,12.61,43.31
180,11.97,40.68
180,11.36,38.12
180,10.78,35.67
180,10.23,33.33
180,9.712,31.11
180,9.223,29.02
180,8.765,27.06
180,8.337,25.23
180,7.936,23.53
180,7.562,21.95
180,7.213,20.48
180,6.887,19.12
180,6.584,17.86
180,6.3,16.69
180,6.036,15.62
180,5.789,14.62
180,5.558,13.69
180,5.341,12.84
180,5.139,12.04
180,4.949,11.3
180,4.77,10.62
180,4.602,9.98
180,4.444,9.385
180,4.294,8.83
180,4.153,8.312
180,4.019,7.827
180,3.892,7.373
180,3.772,6.948
180,3.657,6.549
180,3.548,6.174
180,3.444,5.821
180,3.344,5.49
180,3.249,5.178
180,3.157,4.885
180,3.069,4.609
180,2.985,4.35
180,2.903,4.106
180,2.825,3.877
180,2.749,3.661
180,2.676,3.46
180,2.606,3.271
180,2.538,3.094
180,2.472,2.928
180,2.409,2.774
180,2.348,2.63
180,2.288,2.495
180,2.231,2.37
180,2.176,2.253
180,2.123,2.145
180,2.071,2.043
180,2.021,1.949
180,1.973,1.861
180,1.927,1.779
180,1.882,1.702
180,1.839,1.63
180,1.797,1.563
180,1.757,1.501
180,1.718,1.442
360,22.49,100.2
360,22.27,100.7
360,22.03,101.3
360,21.74,101.8
360,21.41,102.3
360,21.03,102.5
360,20.59,102.6
360,20.1,102.4
360,19.55,101.8
360,18.95,100.8
360,18.31,99.51
360,17.64,97.76
360,16.95,95.63
360,16.24,93.13
360,15.53,90.31
360,14.82,87.2
360,14.12,83.86
360,13.45,80.36
360,12.79,76.73
360,12.16,73.04
360,11.56,69.34
360,10.99,65.66
360,10.45,62.05
360,9.94,58.52
360,9.462,55.11
360,9.014,51.82
360,8.594,48.68
360,8.202,45.68
360,7.835,42.83
360,7.493,40.13
360,7.174,37.59
360,6.875,35.18
360,6.597,32.91
360,6.336,30.78
360,6.093,28.77
360,5.865,26.88
360,5.651,25.1
360,5.45,23.43
360,5.261,21.85
360,5.083,20.37
360,4.915,18.97
360,4.756,17.65
360,4.606,16.41
360,4.463,15.25
360,4.327,14.15
360,4.198,13.11
360,4.074,12.14
360,3.956,11.23
360,3.842,10.37
360,3.733,9.577
360,3.628,8.834
360,3.527,8.144
360,3.429,7.505
360,3.335,6.916
360,3.243,6.374
360,3.154,5.878
360,3.068,5.424
360,2.985,5.011
360,2.904,4.636
360,2.826,4.295
360,2.751,3.987
360,2.677,3.707
360,2.607,3.455
360,2.539,3.226
360,2.473,3.019
360,2.409,2.832
360,2.348,2.662
360,2.289,2.507
360,2.232,2.366
360,2.177,2.238
360,2.124,2.121
360,2.074,2.013
360,2.025,1.915
360,1.977,1.824
360,1.932,1.74
360,1.888,1.663
360,1.846,1.592
360,1.806,1.525
360,1.766,1.464
360,1.728,1.406
360,1.692,1.353
540,22.31,122.7
540,22.06,123.4
540,21.76,124.1
540,21.41,124.7
540,21.01,125.1
540,20.55,125.3
540,20.04,125.2
540,19.48,124.7
540,18.86,123.9
540,18.21,122.6
540,17.53,120.8
540,16.83,118.7
540,16.12,116.1
540,15.41,113.2
540,14.7,109.9
540,14.01,106.4
540,13.34,102.6
540,12.69,98.57
540,12.07,94.45
540,11.48,90.24
540,10.92,86.01
540,10.39,81.78
540,9.891,77.59
540,9.423,73.47
540,8.985,69.45
540,8.575,65.55
540,8.192,61.77
540,7.834,58.13
540,7.5,54.64
540,7.188,51.29
540,6.897,48.09
540,6.624,45.04
540,6.37,42.13
540,6.132,39.36
540,5.909,36.72
540,5.699,34.22
540,5.502,31.84
540,5.317,29.58
540,5.142,27.44
540,4.977,25.41
540,4.821,23.49
540,4.673,21.67
540,4.532,19.96
540,4.398,18.35
540,4.27,16.84
540,4.147,15.42
540,4.03,14.1
540,3.917,12.88
540,3.808,11.74
540,3.702,10.7
540,3.6,9.742
540,3.502,8.868
540,3.406,8.074
540,3.313,7.355
540,3.223,6.707
540,3.135,6.125
540,3.05,5.603
540,2.967,5.136
540,2.887,4.719
540,2.81,4.346
540,2.735,4.014
540,2.662,3.717
540,2.592,3.451
540,2.524,3.214
540,2.459,3
540,2.396,2.809
540,2.336,2.636
540,2.278,2.48
540,2.221,2.338
540,2.167,2.21
540,2.115,2.093
540,2.065,1.986
540,2.017,1.889
540,1.971,1.799
540,1.926,1.717
540,1.883,1.641
540,1.842,1.57
540,1.802,1.505
540,1.763,1.445
540,1.726,1.388
540,1.69,1.336
720,22.13,141.8
720,21.84,142.5
720,21.49,143
720,21.1,143.5
720,20.65,143.7
720,20.14,143.6
720,19.58,143.2
720,18.97,142.3
720,18.32,141.1
720,17.64,139.4
720,16.94,137.2
720,16.23,134.6
720,15.51,131.6
720,14.81,128.3
720,14.12,124.6
720,13.44,120.6
720,12.79,116.4
720,12.17,112.1
720,11.58,107.5
720,11.01,102.9
720,10.48,98.29
720,9.982,93.64
720,9.512,89.02
720,9.072,84.46
720,8.66,79.98
720,8.275,75.6
720,7.915,71.33
720,7.579,67.19
720,7.266,63.19
720,6.973,59.32
720,6.7,55.6
720,6.445,52.02
720,6.205,48.58
720,5.981,45.29
720,5.771,42.14
720,5.573,39.13
720,5.387,36.26
720,5.212,33.53
720,5.046,30.93
720,4.89,28.47
720,4.741,26.14
720,4.599,23.94
720,4.465,21.87
720,4.336,19.94
720,4.213,18.14
720,4.094,16.47
720,3.98,14.93
720,3.87,13.51
720,3.764,12.21
720,3.661,11.03
720,3.562,9.967
720,3.465,9.007
720,3.37,8.146
720,3.279,7.377
720,3.19,6.692
720,3.103,6.084
720,3.019,5.545
720,2.938,5.067
720,2.859,4.644
720,2.782,4.269
720,2.708,3.937
720,2.636,3.642
720,2.567,3.379
720,2.501,3.145
720,2.436,2.935
720,2.374,2.747
720,2.315,2.579
720,2.258,2.426
