length_nm,ngm_id,nidw
180,22.56,0.1119
180,22.34,0.1401
180,22.12,0.175
180,21.88,0.218
180,21.63,0.271
180,21.37,0.336
180,21.08,0.4155
180,20.76,0.5122
180,20.41,0.6293
180,20.01,0.7702
180,19.57,0.9388
180,19.09,1.139
180,18.57,1.375
180,18,1.651
180,17.4,1.971
180,16.78,2.338
180,16.13,2.757
180,15.47,3.229
180,14.81,3.757
180,14.15,4.342
180,13.5,4.985
180,12.86,5.687
180,12.24,6.448
180,11.64,7.265
180,11.08,8.139
180,10.53,9.068
180,10.02,10.05
180,9.534,11.08
180,9.077,12.16
180,8.648,13.29
180,8.247,14.46
180,7.871,15.67
180,7.52,16.92
180,7.192,18.22
180,6.886,19.54
180,6.6,20.91
180,6.334,22.3
180,6.085,23.73
180,5.853,25.19
180,5.636,26.68
180,5.433,28.2
180,5.243,29.74
180,5.064,31.32
180,4.897,32.92
180,4.74,34.54
180,4.592,36.19
180,4.453,37.86
180,4.322,39.56
180,4.198,41.28
180,4.081,43.03
180,3.97,44.8
180,3.865,46.59
180,3.765,48.4
180,3.67,50.23
180,3.58,52.08
180,3.494,53.96
180,3.412,55.85
180,3.333,57.77
180,3.258,59.7
180,3.187,61.66
180,3.118,63.63
180,3.052,65.63
180,2.989,67.64
180,2.928,69.67
180,2.87,71.72
180,2.813,73.79
180,2.759,75.87
180,2.707,77.97
180,2.657,80.09
180,2.608,82.23
180,2.561,84.38
180,2.516,86.55
180,2.472,88.74
180,2.429,90.94
180,2.388,93.15
180,2.348,95.39
180,2.309,97.63
180,2.271,99.89
180,2.235,102.2
180,2.199,104.5
180,2.165,106.8
360,22.03,0.09439
360,21.76,0.1175
360,21.47,0.1458
360,21.14,0.1805
360,20.77,0.2226
360,20.35,0.2734
360,19.89,0.3343
360,19.38,0.4068
360,18.83,0.4925
360,18.23,0.5928
360,17.61,0.7092
360,16.96,0.843
360,16.29,0.9954
360,15.61,1.168
360,14.94,1.36
360,14.27,1.574
360,13.61,1.81
360,12.97,2.067
360,12.35,2.346
360,11.76,2.646
360,11.19,2.968
360,10.65,3.31
360,10.15,3.673
360,9.666,4.055
360,9.216,4.456
360,8.794,4.876
360,8.399,5.314
360,8.029,5.769
360,7.684,6.24
360,7.362,6.727
360,7.061,7.23
360,6.78,7.748
360,6.518,8.281
360,6.273,8.828
360,6.044,9.388
360,5.83,9.962
360,5.629,10.55
360,5.441,11.15
360,5.265,11.76
360,5.099,12.39
360,4.943,13.03
360,4.797,13.68
360,4.658,14.34
360,4.528,15.01
360,4.404,15.7
360,4.287,16.39
360,4.176,17.1
360,4.071,17.82
360,3.971,18.55
360,3.876,19.3
360,3.785,20.05
360,3.699,20.81
360,3.616,21.59
360,3.537,22.38
360,3.461,23.17
360,3.389,23.98
360,3.32,24.8
360,3.253,25.63
360,3.189,26.46
360,3.127,27.31
360,3.068,28.17
360,3.011,29.04
