Vgs,gm/id ((length=1.8e-07)),ft ((length=1.8e-07)),gm/id ((length=3.6e-07)),ft ((length=3.6e-07)),gm/id ((length=5.4e-07)),ft ((length=5.4e-07)),gm/id ((length=7.2e-07)),ft ((length=7.2e-07)),gm/id ((length=9e-07)),ft ((length=9e-07)),gm/id ((length=1.08e-06)),ft ((length=1.08e-06)),gm/id ((length=1.26e-06)),ft ((length=1.26e-06))
0.0,33.26283704,70196.11959,33.53735622,46012.89541,33.65584882,32360.24019,33.80123696,23609.95494,33.88713241,18136.11305,33.95771805,14811.10858,34.02267793,12683.20783
0.1,32.98500116,1983123.297,33.17524906,1305167.91,33.23384883,906661.5622,33.33586163,660283.8385,33.38691503,504693.998,33.42212531,410164.9774,33.44991853,349766.2883
0.2,31.66954614,45080070.48,31.45891865,25631664.93,31.24327885,16204108.32,31.13105487,11231676.48,31.01990954,8272697.423,30.90110571,6524052.929,30.77501522,5423359.306
0.3,27.35258903,548714302.9,26.46138165,247043066.2,25.91153984,141557129.1,25.5358051,92984310.24,25.25568369,66069979.4,24.98467836,50536084.42,24.71288002,40844359.33
0.4,20.76553381,3032117650.0,20.05905033,1265400914.0,19.53153007,699276982.6,19.11763607,444846566.2,18.8097714,308810919.7,18.5153909,230722072.4,18.22690002,182035810.0
0.5,15.2246168,10304992090.0,13.98331551,3897445912.0,13.37037626,2037137474.0,12.97057198,1245456231.0,12.68971838,840377686.2,12.43456404,611406794.8,12.19296192,470150993.7
0.6,10.0910654,21195603783.0,9.17126042,7282274083.0,8.848576493,3703139464.0,8.62201559,2216282222.0,8.464419661,1473618710.0,8.309709815,1055503278.0,8.154432456,798326520.6
0.7,6.623503443,29939160621.0,6.271970278,10206927775.0,6.193868685,5237342136.0,6.091818376,3121078793.0,6.01711128,2067527590.0,5.926025563,1469403004.0,5.82292468,1099611956.0
0.8,4.600428096,35224187201.0,4.555641813,12397839823.0,4.593685012,6498351611.0,4.551372857,3876673385.0,4.516029166,2566802559.0,4.455552822,1813886562.0,4.377820081,1344820301.0
0.9,3.366470013,37705766420.0,3.428317454,13695961432.0,3.459673988,7217800134.0,3.422580304,4281269635.0,3.392283961,2820891647.0,3.345231655,1979741136.0,3.285310819,1454650075.0
1.0,2.541514942,37831381829.0,2.552147275,13600935427.0,2.4960899,6925302835.0,2.458207025,4064576032.0,2.433246419,2661753139.0,2.403727041,1859595568.0,2.367935375,1359587644.0
