Vgs,gm/id ((length=1.8e-07)),Id/W ((length=1.8e-07)),gm/id ((length=3.6e-07)),Id/W ((length=3.6e-07)),gm/id ((length=5.4e-07)),Id/W ((length=5.4e-07)),gm/id ((length=7.2e-07)),Id/W ((length=7.2e-07)),gm/id ((length=9e-07)),Id/W ((length=9e-07)),gm/id ((length=1.08e-06)),Id/W ((length=1.08e-06)),gm/id ((length=1.26e-06)),Id/W ((length=1.26e-06))
0.0,33.26283704,8.46e-06,33.53735622,8.35e-06,33.65584882,7.85e-06,33.80123696,7.17e-06,33.88713241,6.61e-06,33.95771805,6.3e-06,34.02267793,6.17e-06
0.1,32.98500116,0.000233587,33.17524906,0.000236085,33.23384883,0.000224218,33.33586163,0.000207281,33.38691503,0.000192665,33.42212531,0.000184705,33.44991853,0.000181669
0.2,31.66954614,0.006003216,31.45891865,0.006087794,31.24327885,0.005752212,31.13105487,0.005326171,31.01990954,0.004943155,30.90110571,0.004725637,30.77501522,0.004631312
0.3,27.35258903,0.118868501,26.46138165,0.113642386,25.91153984,0.102932102,25.5358051,0.092760898,25.25568369,0.084236138,24.98467836,0.078816018,24.71288002,0.075574389
0.4,20.76553381,1.31130205,20.05905033,1.157642183,19.53153007,0.99605633,19.11763607,0.863564105,18.8097714,0.761977867,18.5153909,0.69327227,18.22690002,0.646407542
0.5,15.2246168,7.908186312,13.98331551,6.334327565,13.37037626,5.13047321,12.97057198,4.261705624,12.68971838,3.64579948,12.43456404,3.223522509,12.19296192,2.924471364
0.6,10.0910654,27.76888245,9.17126042,19.81694374,8.848576493,15.30012229,8.62201559,12.31597123,8.464419661,10.30815949,8.309709815,8.930593438,8.154432456,7.944355525
0.7,6.623503443,63.08086846,6.271970278,42.32388486,6.193868685,32.06764383,6.091818376,25.40918905,6.01711128,21.03076034,5.926025563,18.00412777,5.82292468,15.81504487
0.8,4.600428096,109.5697214,4.555641813,72.22406279,4.593685012,54.6641086,4.551372857,43.02221729,4.516029166,35.42428767,4.455552822,30.1037892,4.377820081,26.20977714
0.9,3.366470013,162.4226925,3.428317454,107.3056128,3.459673988,81.60055628,3.422580304,63.99687057,3.392283961,52.53512153,3.345231655,44.40759277,3.285310819,38.39614832
1.0,2.541514942,217.6995329,2.552147275,144.5045699,2.4960899,109.7078774,2.458207025,85.69605046,2.433246419,70.14473541,2.403727041,59.06609134,2.367935375,50.82899046
