gm/Id (180 nm) [1/V],gm*ro (180 nm) [Intrinsic Gain],gm/Id (360 nm) [1/V],gm*ro (360 nm) [Intrinsic Gain],gm/Id (540 nm) [1/V],gm*ro (540 nm) [Intrinsic Gain],gm/Id (720 nm) [1/V],gm*ro (720 nm) [Intrinsic Gain],gm/Id (900 nm) [1/V],gm*ro (900 nm) [Intrinsic Gain],gm/Id (1080 nm) [1/V],gm*ro (1080 nm) [Intrinsic Gain],gm/Id (1260 nm) [1/V],gm*ro (1260 nm) [Intrinsic Gain]
2.319256856,4.115363314,2.229650474,3.430009253,2.190941921,3.02592402,2.189102651,2.933427101,2.184326673,2.879563943,2.172211784,2.842573589,2.154784239,2.813638764
3.029637527,6.877581057,2.91278025,6.508576841,2.875153811,5.974041847,2.872015005,5.888500786,2.864031241,5.826385128,2.84651549,5.767941439,2.822387857,5.708754957
4.080182383,10.95359498,3.844503614,12.0430429,3.783554626,12.24230103,3.764003087,12.62150473,3.743647852,12.84154637,3.715588069,12.93911023,3.682158853,12.95234519
5.887425237,16.78620566,5.322016112,19.86503511,5.147992311,21.72768423,5.062051128,23.14305046,4.997219435,24.1279606,4.937349846,24.81249203,4.880213868,25.28907623
9.572609473,25.49051551,8.288468723,30.6668221,7.811802931,33.99756094,7.541831235,36.13494409,7.353003721,37.6971893,7.20190484,38.92257461,7.074328786,39.93260423
17.04526936,35.6220134,15.10483743,44.74663803,14.08923016,49.67809996,13.42478508,52.25643111,12.94932099,54.12332719,12.57122559,55.67312214,12.25657808,57.05092353
25.27678135,38.72476017,24.87065916,49.47103353,24.26815947,55.64560312,23.730734,58.98301267,23.27267837,61.49706217,22.86291461,63.72153593,22.49099926,65.79983485
30.47474729,41.84678474,30.33990115,49.37724132,30.07385708,53.15670129,29.90747302,54.90154125,29.75510068,56.22750786,29.61975612,57.56287685,29.49959069,58.96354969
33.06175761,44.71975089,33.39300322,52.80986234,33.42974814,56.74624824,33.4842039,58.45966777,33.48743753,59.67765684,33.47218408,60.88420178,33.44993824,62.14964275
34.06987106,45.98261593,34.58647444,54.50246546,34.77303378,58.74848879,34.94407365,60.66999274,35.04112334,62.05637894,35.10472569,63.41527951,35.15036674,64.82386355
34.37907682,46.38253477,34.97441654,55.08260632,35.20430354,59.4344157,35.40016129,61.41180067,35.5176297,62.84431734,35.59720288,64.24366559,35.65541906,65.68900239
